,State,Deaths per Population,Natural and Semisynthetic Opioids per Population,Synthetic Opioids per Population
0,Alabama,1.6940050136006824e-06,-6.707791151862877e-07,5.422681354249117e-07
1,Alaska,5.3242457292041394e-08,2.6958206223818426e-08,9.43537217833645e-09
2,Arizona,3.213423642861808e-06,2.3744595351257943e-06,3.341478676092774e-07
3,California,1.4924894425376848e-06,6.312769219702931e-07,1.9891028991239852e-07
4,Colorado,3.5553292786112e-06,2.36838301876858e-06,6.98745103331676e-07
5,Connecticut,6.279388536188319e-06,2.8140961216517017e-06,1.4863923005476084e-06
6,Delaware,6.284312887403591e-07,-5.619924216366678e-06,4.024239221284605e-06
7,Florida,2.766930106103805e-06,2.3403717545634903e-06,3.708001526536325e-07
8,Georgia,3.076653527163219e-06,2.761791420651285e-06,8.655413696056251e-07
9,Idaho,2.430273556063174e-08,1.2758936169331663e-08,3.949194528602658e-09
10,Illinois,3.594051918917105e-06,9.657608636254387e-07,4.565029296098326e-07
11,Indiana,4.327163962683595e-06,1.2511659363955848e-06,3.0985763907522305e-07
12,Iowa,1.9301094363686926e-06,6.26140064172878e-07,2.8609166572808236e-07
13,Kansas,1.3653493626178652e-06,2.109742083405808e-06,1.8410826117016793e-07
14,Kentucky,1.3429064068577285e-05,3.1045456308237025e-06,3.5406830571247117e-06
15,Louisiana,2.164075100957672e-06,7.825111571426338e-07,4.126518452302379e-07
16,Maine,2.5159140279453114e-05,7.126904436326009e-06,1.766418536989935e-05
17,Maryland,3.5143342989505608e-06,4.690203242980579e-06,1.9716691047097643e-06
18,Massachusetts,4.858412365825708e-06,1.5038936242353158e-06,2.104957198295885e-06
19,Michigan,5.7822370334877185e-06,1.9345269673316244e-06,7.031660213877554e-07
20,Minnesota,2.2053644217906634e-06,-1.2705811262991268e-07,6.751951072682101e-08
21,Mississippi,1.7105941455455782e-08,9.13424058301037e-09,3.985850436222707e-09
22,Missouri,6.770193223811269e-06,2.3612203585435147e-06,7.708083897507416e-07
23,Nevada,5.737649114685438e-06,4.698599559689855e-06,2.2997408728764997e-07
24,New Hampshire,1.8925450732684933e-05,3.3960920970761004e-06,1.153095417000353e-05
25,New Jersey,1.921403693895765e-06,1.214245096869176e-06,3.2011382221891346e-07
26,New Mexico,4.7578817685573084e-06,2.32385814542136e-06,5.525926018740091e-07
27,New York,4.309580928170305e-06,2.5370221184379397e-06,8.505046177044907e-07
28,North Carolina,4.3515238786628975e-06,2.734687256071639e-06,9.050341498224308e-07
29,Ohio,9.892031506764665e-06,3.165507980537215e-06,1.7520089330908388e-06
30,Oklahoma,6.9453451276181385e-06,5.797297731932259e-06,9.718968075692277e-07
31,Oregon,1.828117056302381e-06,1.815679527890197e-06,3.755951333780574e-07
32,Pennsylvania,3.6450303457249765e-06,1.900871737283312e-06,6.425990804754767e-07
33,Rhode Island,3.190729818567348e-05,-1.1062660298613065e-06,3.314349052311821e-05
34,South Carolina,4.062987073785918e-06,2.693359457737963e-06,8.115869512367978e-07
35,Tennessee,7.354033037123343e-06,5.234873252135288e-06,7.833793542038783e-07
36,Texas,1.5725528398025045e-06,7.556707792828255e-07,1.6468654768606333e-07
37,Utah,5.023427761497667e-06,5.449110768293035e-06,1.3323999947807578e-06
38,Vermont,5.9457453589949484e-08,2.9332343771041745e-08,1.3477022813721884e-08
39,Virginia,2.970781310628731e-06,1.522799313969001e-06,8.524429815070107e-07
40,Washington,2.78445211815849e-06,2.078572050166459e-06,3.2574594243247534e-07
41,West Virginia,1.8256658026171234e-05,1.61761597993318e-05,2.4727977977982627e-06
42,Wisconsin,6.055602633192787e-06,2.763285504500072e-06,7.105930385081009e-07
