YEAR,IRALCFY,IRMJFY,IEMYR,DEPNDALC,DEPNDMRJ,ABUSEALC,ABUSEMRJ,BOOKED
2002,659.1483426506296,844.9371506013891,0.1368230843074143,0.022417979558416623,0.025467276526060196,0.03766446439663448,0.018352250268225196,0.08775199051329832
2003,654.3962315974511,844.3297626895188,0.13606899582509338,0.022742254449571522,0.02191825972313777,0.04098000439463854,0.02164359481432652,0.08992529114480334
2004,662.5362960533508,856.0941838854269,0.13567289821799497,0.022794358806165958,0.02077183776101454,0.039903793593527935,0.019405269487263583,0.08379796654640866
2005,659.6602419959311,860.2108362779741,0.13299068422743335,0.023289431416639896,0.019702323589249383,0.03795909626298319,0.017989078059749437,0.08400256986829426
2006,666.1667763518701,869.0217176702863,0.12372490950970715,0.020017549632554567,0.018043215970165626,0.03806076560272019,0.017165734342437206,0.08056378194581551
2007,674.4620928384974,864.6459539212348,0.12177959368970605,0.02417432754511406,0.017705141300646918,0.03529678810577687,0.018102372034956304,0.07967313585291114
2008,682.4266159263888,867.2920027263433,0.11922072020901965,0.020674769964784734,0.019709190048846983,0.033454504146313756,0.01766443257980234,0.07690560036351243
2009,689.5888628972442,858.9460831859417,0.12158384207223141,0.02133850630455868,0.02031151937011468,0.031094882181776688,0.01745877788554801,0.07451360757688139
2010,704.0842122431228,857.3088507121887,0.11291725562683484,0.017179515059258455,0.02120256605414809,0.029792323583777317,0.01745134282918343,0.06599978253778406
2011,719.6472176079734,860.2964078073089,0.10387250830564784,0.014898255813953489,0.01775332225913621,0.02434593023255814,0.017182308970099668,0.06395348837209303
2012,729.910109776424,861.3647336053796,0.09609747686648658,0.013621472498419449,0.01724237025116386,0.024139318351629403,0.016207828036094028,0.059773550204034714
2013,745.8927604871448,860.8737595850248,0.08654713576905729,0.011050969778980605,0.016463689670726207,0.02029769959404601,0.014490302210193956,0.05080063148398737
2014,749.7563235294118,863.2070588235295,0.08426470588235294,0.010073529411764705,0.014264705882352941,0.01860294117647059,0.015661764705882354,0.04507352941176471
2015,764.2172248803828,870.4813397129186,-9.0,0.009937430990062569,0.013029076186970924,0.016709606183290395,0.015090172984909826,0.04181082075818918
2016,784.8553811659193,878.6647982062781,-9.0,0.007637331838565023,0.011420964125560538,0.012471973094170403,0.012051569506726457,0.03503363228699551
2017,769.8108876257105,866.7461740271098,-9.0,0.008089199825098382,0.012243113248797552,0.013992129427197202,0.011805859204197638,0.03796822620609241
